tag,Card,Offer,Valid Till,Quotas,Valid On,Other Conditions,link
pvr,Kotak PVR INOX Credit Card,5% Off on Tickets,"Sat, Aug 31, 2024","No Quota","Web & Mobile","1.The discount amount cannot exceed 5% per Transaction. Any additional amount has to be borne by the customer; 2.Discount is applicable only on Ticket. Convenience fee is levied on each ticket (as applicable)"
pvr,DBS Bank Credit,Buy 1 Get 1,"Thu, Oct 31, 2024","No Quota","Web & Mobile","1.movie tickets up to INR 250 per card in a month valid only on Fridays, Saturdays & Sundays"
pvr,"IDBI Bank (Platinum, Signature, Select and World) Credit Card",up to 25% Instant Discount on Transaction,"Mon, Sep 30, 2024","No Quota","Web & Mobile","Offer is applicable on Movie Tickets and F&B"
pvr,"Standard Chartered Bank DigiSmart Credit Card",Buy One Get One,"Mon, Sep 30, 2024","No Quota","Web & Mobile","Offer is valid only for movie tickets purchased on Saturday and Sunday for movie shows only on Saturday & Sunday"
pvr,"ICICI Bank InterMiles Coral Credit Card",25% off on Movie Ticket,"Wed, Sep 30, 2026","No Quota","Web & Mobile","Maximum 2 discounted transactions can be availed per card per month and 1 discounted transaction for InterMiles Coral Credit Card (VISA and American Express), Rubyx Credit Card (MasterCard and American Express) and InterMiles Rubyx (VISA and American Express). Limited quota on discounted transactions on First Come First Serve basis"
pvr,"ICICI Bank Rubyx Credit Card",25% off on Movie Ticket,"Wed, Sep 30, 2026","No Quota","Web & Mobile","Maximum 2 discounted transactions can be availed per card per month and 1 discounted transaction for InterMiles Coral Credit Card (VISA and American Express), Rubyx Credit Card (MasterCard and American Express) and InterMiles Rubyx (VISA and American Express). Limited quota on discounted transactions on First Come First Serve basis"
pvr,"ICICI Bank InterMiles Rubyx Credit Card",25% off on Movie Ticket,"Wed, Sep 30, 2026","No Quota","Web & Mobile","Maximum 2 discounted transactions can be availed per card per month and 1 discounted transaction for InterMiles Coral Credit Card (VISA and American Express), Rubyx Credit Card (MasterCard and American Express) and InterMiles Rubyx (VISA and American Express). Limited quota on discounted transactions on First Come First Serve basis"
pvr,"AU Credit Cards",20% Off on Movie Ticket,"Mon, Sep 30, 2024","No Quota","Web & Mobile","1.Offer is applicable on a minimum transaction value of INR 500; 2.Maximum one discounted transaction can be availed per card per month; 3.Maximum discount is up to INR 100. Any additional amount has to be borne by the customer"
pvr,HSBC Bank Credit Card,10% Off on Movie Ticket,"Thu, Mar 20, 2025","No Quota","Web & Mobile","The offer is only applicable to the purchase of movie tickets"
pvr,Kotak PVR INOX Credit Card,25% off on all LUX and INSIGNIA Tickets,"Sat, Aug 31, 2024","No Quota","Web & Mobile","he discount amount cannot exceed 25% per Transaction upto a maximum discount of INR500. Any additional amount has to be borne by the customer"
pvr,DBS Bank Credit Card,"20% off on F&B","Thu, Oct 31, 2024","No Quota","Web & Mobile","up to INR 150 per card in a month valid only on Fridays, Saturdays & Sundays"
pvr,Federal Bank Celesta Credit Card,"Buy One Get One","Wed, Dec 31, 2025","No Quota","Web & Mobile","1.Minimum two movie ticket needs to be purchased in a transaction to avail the offer; 2.Maximum one discounted transactions can be availed per card per month"
pvr,IDBI (Classic and Gold) Credit Card,"20% Off on Transactions","Mon, Sep 30, 2024","No Quota","Web & Mobile","1.Maximum one discounted transaction can be availed per card per month; 2.Maximum discount is up to INR 75. Any additional amount has to be borne by the customer"
pvr,Kotak Bank White Reserve Credit Card,"Buy 1 ticket and get 1 free up-to INR 800 AT select PVR INOX LUXE OR INSIGNIA","Sat, Aug 31, 2024","No Quota","Web & Mobile","1.A minimum of 2 tickets must be purchased to avail of the ticket discount. Customers can purchase any number of tickets and will receive a discount on 1 ticket in a transaction. For example, if a customer buys 2 tickets, they will pay for 1 ticket and get 1 free ticket, if they buy 3 tickets, they will pay for 2 tickets and get 1 free ticket; 2.If the second ticket(s) value exceeds Rs.800, the bearer will need to pay the difference amount"
